coordinate_key,latitude,longitude,first_date,last_date,n_days,missing_fraction,parameters,source,time_standard
42.7076_-84.4698,42.707603,-84.46977,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
42.7082_-84.4695,42.708228,-84.46955,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
42.7235_-76.6564,42.723533,-76.656415,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
42.7253_-76.6551,42.72532,-76.65507,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
42.7254_-76.6564,42.72538,-76.65642,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
42.7254_-76.6556,42.72543,-76.655565,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
42.7254_-76.6551,42.72543,-76.6551,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
42.7286_-76.6516,42.728569,-76.65158,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
42.7286_-76.6520,42.72856941,-76.65201913,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
42.7291_-76.6514,42.729068,-76.651402,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
42.7300_-76.6500,42.73,-76.65,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
42.7315_-76.6521,42.731548,-76.652105,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
42.7326_-76.6517,42.732557,-76.651734,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
42.7328_-76.6541,42.732845,-76.654107,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
42.7329_-76.6520,42.7328868,-76.6520083,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
42.7329_-76.6497,42.732895,-76.649673,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
42.7330_-76.6520,42.733042,-76.651994,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
42.7337_-76.6565,42.73366,-76.65654,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
42.7338_-76.6544,42.73384,-76.65443,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
43.0544_-89.5317,43.0544,-89.5317,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
43.0558_-89.5314,43.055767,-89.531381,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
43.0558_-89.5317,43.055814,-89.531719,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
43.0570_-89.5309,43.056965,-89.530937,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
43.0571_-89.5310,43.05706111,-89.53098611,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
43.0572_-89.5311,43.057176,-89.531052,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
43.0572_-89.5294,43.057222,-89.529444,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
43.2948_-89.3840,43.294786,-89.383968,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
43.3189_-89.3885,43.3189,-89.3885,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
43.3197_-89.3328,43.319722,-89.332778,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
43.3242_-89.3356,43.324231,-89.33564,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
43.3260_-89.3401,43.325958,-89.340114,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
43.3807_-89.3864,43.38075,-89.38645,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
44.0668_-93.5331,44.066804,-93.533063,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
44.0668_-93.5239,44.06684388,-93.52391105,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
44.0697_-93.5341,44.06971707,-93.53409096,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
44.0697_-93.5265,44.06971707,-93.526527,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
44.0706_-93.5265,44.070629,-93.526527,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
44.0706_-93.5265,44.070646,-93.526485,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
44.0708_-93.5355,44.070847,-93.535534,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
44.0770_-93.5084,44.077,-93.5084,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
44.2089_-102.9298,44.208912,-102.929751,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
