regime,environment,environment_fold,model,n,selected_config,rmse,mae,r2,correlation,novelty_nearest_z,novelty_mean5_z,max_training_kernel_similarity
CV-GE-continuous-B6R,2019-NYH1,4,B6-fixed-G+E,201,baseline,2.439255245202452,2.0726806741666266,-1.966412565149907,0.17874954917850416,,,
CV-GE-continuous-B6R,2019-NYH1,4,Selected-G,201,environment_rank_32,1.4214912092966645,1.1211622718531897,-0.007408042280005578,0.18449021473299537,8.132834393115,9.363439988407029,0.8318846367785466
CV-GE-continuous-B6R,2019-NYH1,4,Selected-G+E,201,environment_rank_32,2.7607006481635232,2.414862405852699,-2.799755842198992,0.16432415432182637,8.132834393115,9.363439988407029,0.8318846367785466
CV-GE-continuous-B6R,2019-NYH1,4,Selected-G+E+GxE,201,environment_rank_32,3.342488261274566,3.003155470391897,-4.570021074950649,0.1936245773923941,8.132834393115,9.363439988407029,0.8318846367785466
CV-GE-continuous-B6R,2019-NYH2,1,B6-fixed-G+E,402,baseline,3.0900526899178766,2.69157584055126,-1.91867409828061,0.08516037177442223,,,
CV-GE-continuous-B6R,2019-NYH2,1,Selected-G,402,environment_narrower,3.7463171139580904,3.3714203205228372,-3.2900554621969107,0.08637979031011674,10.343230904104672,11.2918852971378,0.5544155340392422
CV-GE-continuous-B6R,2019-NYH2,1,Selected-G+E,402,environment_narrower,3.2511859353277686,2.8600435715587578,-2.231003655117563,0.08441114548588577,10.343230904104672,11.2918852971378,0.5544155340392422
CV-GE-continuous-B6R,2019-NYH2,1,Selected-G+E+GxE,402,environment_narrower,3.52921149301214,3.135950493437306,-2.8072307896508715,0.027671548815676697,10.343230904104672,11.2918852971378,0.5544155340392422
CV-GE-continuous-B6R,2019-NYH3,1,B6-fixed-G+E,573,baseline,2.636084393381593,2.1764687484666516,-0.6089275444976818,0.10073503436483806,,,
CV-GE-continuous-B6R,2019-NYH3,1,Selected-G,573,environment_narrower,3.9306796956699794,3.4643003041348144,-2.577282002613748,0.09014353531334407,10.036728889852387,10.789265674011183,0.573842025326631
CV-GE-continuous-B6R,2019-NYH3,1,Selected-G+E,573,environment_narrower,2.850201991012783,2.379991905232966,-0.8809148927973014,0.10748597934613806,10.036728889852387,10.789265674011183,0.573842025326631
CV-GE-continuous-B6R,2019-NYH3,1,Selected-G+E+GxE,573,environment_narrower,2.3411061099705726,1.8739490178139198,-0.26899544649183915,0.10635485300550053,10.036728889852387,10.789265674011183,0.573842025326631
CV-GE-continuous-B6R,2019-OHH1,3,B6-fixed-G+E,367,baseline,3.192848259298119,2.904976335540245,-2.6048842951863533,0.09162492802091037,,,
CV-GE-continuous-B6R,2019-OHH1,3,Selected-G,367,environment_narrower,2.551482520307254,2.2236450204312574,-1.3020776395090299,0.0726897425127653,14.295873975521705,14.419354194861759,0.3233030509970621
