environment,test_year,model,n,rmse,mae,r2,correlation
2017-ILH1,2017,Frozen-T2,173,4.637707706003128,4.4111233142620465,-12.429029861837417,-0.05168185654523101
2017-ILH1,2017,T2-Mean12,173,2.114611807885809,1.7529637226684833,-1.7918957552782033,-0.05977138921511096
2017-ILH1,2017,T2-Median12,173,3.0100648347360415,2.68548260257339,-4.657044469629832,-0.05522350404185663
2017-INH1,2017,Frozen-T1,163,2.3834609481994042,2.0430814053664506,-1.103544036752134,0.36447091324283215
2017-INH1,2017,Frozen-T2,163,4.1633108789246,3.871361134543352,-5.418199459708974,0.3339641392183239
2017-INH1,2017,T2-Mean12,163,2.5878188773733,2.2544492292198073,-1.4797236275773558,0.37061659517026174
2017-INH1,2017,T2-Median12,163,3.603552879433748,3.328304055961356,-3.8083638757986407,0.371786316847638
2017-MIH1,2017,Frozen-T1,184,1.6240937873279406,1.2695384614094831,0.17569851375088896,0.473075676846897
2017-MIH1,2017,Frozen-T2,184,1.8143709114182298,1.5177079215983407,-0.02876462409699121,0.4653354962191217
2017-MIH1,2017,T2-Mean12,184,1.8669319861242375,1.5628332029244765,-0.08923318905632782,0.46698938361826325
2017-MIH1,2017,T2-Median12,184,1.8888186575366528,1.5859121895193735,-0.11492178341651593,0.47286589029532705
2017-MNH1,2017,Frozen-T1,212,1.8142755691693495,1.4672711608369358,-0.37558894348417304,0.12712031965829407
2017-MNH1,2017,Frozen-T2,212,1.9560564399179463,1.603147117864702,-0.5989870078941495,0.10318656792335107
2017-MNH1,2017,T2-Mean12,212,1.6052856004967144,1.259142333930439,-0.07692830493797764,0.15519911772754974
2017-MNH1,2017,T2-Median12,212,1.6770508539470106,1.3288623411596765,-0.1753700923683812,0.19596681946664554
2017-NYH1,2017,Frozen-T1,204,1.6041601126334983,1.297682069121696,-0.004182115524733687,0.17529789959513012
2017-NYH1,2017,Frozen-T2,204,1.6197639184049175,1.3128567248173835,-0.023812662048927624,0.1585902148581786
2017-NYH1,2017,T2-Mean12,204,1.5934200132799392,1.2879695754724143,0.00921918018568324,0.1703101325315004
2017-NYH1,2017,T2-Median12,204,1.5930713992601324,1.2874646887053494,0.00965266576706636,0.1653192000903979
2017-NYH2,2017,Frozen-T1,197,3.3167085311791866,3.028138206008369,-3.866414395103094,0.14938352931428664
