environment_a,environment_b,n_common_genotypes,n_common_unordered_genotype_pairs,mean_prediction_offset_a_minus_b,environment_offset_sd_across_common_genotypes,max_abs_pairwise_contrast_deviation,max_abs_centered_prediction_deviation,local_max_float32_ulp,max_pairwise_deviation_in_local_float32_ulp,float32_four_term_ulp_budget,float32_implementation_bound,invariant_within_csv_only_precision,consistent_with_float32_implementation,uses_target_outcomes
DEH1_2024,NEH2_2024,15,105,0.20698909759266648,3.9485861858769993e-07,9.53680000748136e-07,7.629426654887084e-07,9.5367431640625e-07,1.0000059604644775,4.0,3.824697265625e-06,False,True,False
DEH1_2024,NYH2_2024,35,595,-0.10427344185685712,4.6753060560060256e-07,9.537100016387967e-07,5.994668565989514e-07,9.5367431640625e-07,1.000037418678403,4.0,3.824697265625e-06,False,True,False
DEH1_2024,NYH3_2024,39,741,-0.10427347818282047,4.5544052339076917e-07,9.537000025261477e-07,6.357828166159152e-07,9.5367431640625e-07,1.0000269338488579,4.0,3.824697265625e-06,False,True,False
DEH1_2024,OHH1_2024,15,105,-0.15026213327800012,4.365285360087226e-07,9.537099998624399e-07,6.993719985359803e-07,9.5367431640625e-07,1.0000374168157578,4.0,3.824697265625e-06,False,True,False
DEH1_2024,TXH1_2024,15,105,0.8640417734753334,4.924764825986785e-07,9.537100016387967e-07,5.086346686056231e-07,9.5367431640625e-07,1.000037418678403,4.0,3.824697265625e-06,False,True,False
DEH1_2024,WIH1_2024,36,630,-2.0147871971097215,4.835986748359527e-07,9.53800000758065e-07,4.769097223800145e-07,9.5367431640625e-07,1.0001317895948887,4.0,3.824697265625e-06,False,True,False
DEH1_2024,WIH2_2024,44,946,-0.13863513686318185,4.818504420615468e-07,9.537299998640947e-07,4.985368207144347e-07,9.5367431640625e-07,1.000058388337493,4.0,3.824697265625e-06,False,True,False
DEH1_2024,WIH3_2024,43,903,-0.18761055967906987,2.4582555439190737e-07,9.53800000758065e-07,8.871790662112744e-07,9.5367431640625e-07,1.0001317895948887,4.0,3.824697265625e-06,False,True,False
GAH1_2024,GAH2_2024,15,105,-0.9513665517173333,2.8306025400982634e-07,9.53680000748136e-07,8.265226689729843e-07,9.5367431640625e-07,1.0000059604644775,4.0,3.824697265625e-06,False,True,False
GAH1_2024,IAH2_2024,15,105,-1.256741142274,4.48764177448367e-07,9.537299980877378e-07,5.722439979649607e-07,9.5367431640625e-07,1.0000583864748478,4.0,3.824697265625e-06,False,True,False
GAH1_2024,IAH4_2024,15,105,-1.2862354914359997,4.2903406747225915e-07,9.537499998657495e-07,6.35825999850681e-07,9.5367431640625e-07,1.0000793598592281,4.0,3.824697265625e-06,False,True,False
GAH1_2024,ILH1_2024,15,105,-1.2560908635453336,3.9758510198025727e-07,9.536699998591303e-07,6.993553292033994e-07,9.5367431640625e-07,0.9999954737722874,4.0,3.824697265625e-06,False,True,False
GAH1_2024,INH1_2024,15,105,-2.724497731529333,3.975993229595965e-07,1.4305800002389901e-06,8.901193311317002e-07,9.5367431640625e-07,1.5000718543305993,4.0,3.824697265625e-06,False,True,False
GAH1_2024,MIH1_2024,15,105,-1.5226659138986667,3.975889286974605e-07,1.4305100011213767e-06,8.900886658835816e-07,9.5367431640625e-07,1.4999984549358487,4.0,3.824697265625e-06,False,True,False
GAH1_2024,MOH1_2024,15,105,0.35911951064933345,3.693555403916483e-07,1.4305099993450199e-06,8.583106634318938e-07,9.5367431640625e-07,1.4999984530732036,4.0,3.824697265625e-06,False,True,False
GAH1_2024,NCH1_2024,15,105,-1.028100585942,4.487661506926024e-07,9.537299998640947e-07,5.722119968964989e-07,9.5367431640625e-07,1.000058388337493,4.0,3.824697265625e-06,False,True,False
GAH1_2024,NEH1_2024,15,105,-0.9353529612253334,4.290287748868739e-07,9.537199989750889e-07,6.357853301608429e-07,9.5367431640625e-07,1.0000479016453028,4.0,3.824697265625e-06,False,True,False
GAH1_2024,NEH2_2024,15,105,-0.9059621175140001,2.830570450515096e-07,9.536799989717792e-07,8.265160005294092e-07,9.5367431640625e-07,1.0000059586018324,4.0,3.824697265625e-06,False,True,False
GAH1_2024,NYH2_2024,15,105,-1.2172246932993331,4.487606859873453e-07,9.53680000748136e-07,5.72209330584883e-07,9.5367431640625e-07,1.0000059604644775,4.0,3.824697265625e-06,False,True,False
GAH1_2024,NYH3_2024,15,105,-1.2172246932993331,4.487606859873453e-07,9.53680000748136e-07,5.72209330584883e-07,9.5367431640625e-07,1.0000059604644775,4.0,3.824697265625e-06,False,True,False
GAH1_2024,OHH1_2024,15,105,-1.2632133483846666,3.5133095522173425e-07,9.537200007514457e-07,7.62945335353038e-07,9.5367431640625e-07,1.000047903507948,4.0,3.824697265625e-06,False,True,False
GAH1_2024,TXH1_2024,15,105,-0.2489094416313332,4.583141223237546e-07,9.53680000748136e-07,5.086286680722196e-07,9.5367431640625e-07,1.0000059604644775,4.0,3.824697265625e-06,False,True,False
GAH1_2024,WIH1_2024,15,105,-3.127738380433334,4.4876508875635075e-07,9.537700016437611e-07,5.722566687182962e-07,9.5367431640625e-07,1.0001003332436085,4.0,3.824697265625e-06,False,True,False
GAH1_2024,WIH2_2024,15,105,-1.2515863418593332,4.487611414158418e-07,9.537099998624399e-07,5.722106664052262e-07,9.5367431640625e-07,1.0000374168157578,4.0,3.824697265625e-06,False,True,False
GAH1_2024,WIH3_2024,15,105,-1.3005617777546665,3.809082029091604e-07,1.4305400020120373e-06,8.265446638233698e-07,9.5367431640625e-07,1.500029913149774,4.0,3.824697265625e-06,False,True,False
GAH2_2024,IAH2_2024,15,105,-0.30537459055666666,4.924779580295726e-07,9.537299980877378e-07,5.086433318979289e-07,9.5367431640625e-07,1.0000583864748478,4.0,3.824697265625e-06,False,True,False
GAH2_2024,IAH4_2024,15,105,-0.33486893971866655,4.924817387341839e-07,9.537499998657495e-07,5.086686680755292e-07,9.5367431640625e-07,1.0000793598592281,4.0,3.824697265625e-06,False,True,False
GAH2_2024,ILH1_2024,15,105,-0.30472431182799997,4.835969830523122e-07,9.53680000748136e-07,5.722079983172534e-07,9.5367431640625e-07,1.0000059604644775,4.0,3.824697265625e-06,False,True,False
GAH2_2024,INH1_2024,15,105,-1.773131179812,3.9485999940433713e-07,9.537399989767437e-07,7.629619993565484e-07,9.5367431640625e-07,1.000068873167038,4.0,3.824697265625e-06,False,True,False
