regime,environment,model,n,rmse,mae,r2,correlation
CV-E-B7,2015-MNH1,Stage-MK,407,1.4460252483201526,1.1273321159643306,-0.10353359867278589,0.034232015823495096
CV-E-B7,2015-MNH1,Thermal,407,1.450010401956674,1.1200144473202216,-0.10962451707114451,0.06988617741410877
CV-E-B7,2015-MNH1,Thermal+water-MK,407,1.7880403757829275,1.4279405691438722,-0.687285021376177,0.08691849773989033
CV-E-B7,2015-MNH1,Vegetative,407,1.7098266805338374,1.3840599568366798,-0.5429007410716853,-0.02062706683547888
CV-E-B7,2015-MNH1,Water-soil,407,1.4362756015958378,1.1110253534019543,-0.08870288679996507,0.06111918059779095
CV-E-B7,2015-MOH1,All-nonleaky,422,5.625558590894573,5.332982916827719,-9.61783004725938,0.09767393907593769
CV-E-B7,2015-MOH1,B6R-all-EC-reference,422,5.564086594802451,5.268314787986988,-9.38705008593121,0.09774505301214705
CV-E-B7,2015-MOH1,Canopy-growth,422,5.244474162196307,4.94289019139032,-8.228016561765598,0.1162231357810829
CV-E-B7,2015-MOH1,Grain-fill-maturity,422,5.073085324208612,4.737479267200351,-7.634730724902999,0.05731890128997975
CV-E-B7,2015-MOH1,Process-MK,422,4.191222625239042,3.8277270902844385,-4.893671489052945,0.13120965255854958
CV-E-B7,2015-MOH1,Reproductive-transition,422,4.397035881894738,4.036259621116348,-5.486710029148955,0.11424136857126545
CV-E-B7,2015-MOH1,Stage-MK,422,3.3041833962293756,2.9058146476354474,-2.6629648742939493,0.1386583102253616
CV-E-B7,2015-MOH1,Thermal,422,3.0906217292611204,2.6833369354201673,-2.204764877803808,0.08454969891961474
CV-E-B7,2015-MOH1,Thermal+water-MK,422,4.530613424678938,4.167094022881883,-5.8868160044419975,0.06120796174988099
CV-E-B7,2015-MOH1,Vegetative,422,4.710888446807603,4.363512879203489,-6.44577838308893,0.15155119434680922
CV-E-B7,2015-MOH1,Water-soil,422,5.248744218131527,4.935078724160847,-8.243049599251524,0.08791712051069585
CV-E-B7,2015-MOH2,All-nonleaky,421,2.437528729540915,2.0376060559551403,-0.9095586047166098,0.20848382055700868
CV-E-B7,2015-MOH2,B6R-all-EC-reference,421,2.459546718307872,2.058122419045694,-0.9442121718453003,0.2090784932888891
CV-E-B7,2015-MOH2,Canopy-growth,421,2.088138782458263,1.7093754001442247,-0.40136809021208686,0.173430982839043
CV-E-B7,2015-MOH2,Grain-fill-maturity,421,1.7880135208116934,1.4446120862344491,-0.02748408184124851,0.20492984203283493
CV-E-B7,2015-MOH2,Process-MK,421,2.178015896757352,1.749884476919365,-0.5245988774627361,0.21545825861027976
CV-E-B7,2015-MOH2,Reproductive-transition,421,1.897056845564702,1.5350322658211413,-0.15662931333320174,0.17429841511496816
CV-E-B7,2015-MOH2,Stage-MK,421,2.0892949455031156,1.6639107268681754,-0.4029203419604921,0.19211209373024837
CV-E-B7,2015-MOH2,Thermal,421,1.834366573240512,1.48296978618232,-0.08144829664093045,0.17130969200995017
