environment,test_year,model,n,rmse,mae,r2,correlation
2019-GAH2,2019,Frozen-T2,390,4.275955813851552,4.0083583203066455,-7.620548184723612,-0.07806741920353955
2019-GAH2,2019,Selected-T2,390,4.185983844735703,3.908625225900474,-7.2615885489659036,-0.08001215559346612
2019-IAH4,2019,Frozen-T1,1140,2.4524546288050044,2.173192222298005,-2.5369692873837,0.0515925516625326
2019-IAH4,2019,Frozen-T2,1140,1.9425777425969506,1.6520127737387533,-1.219147362368334,0.03883316001373464
2019-IAH4,2019,Selected-T2,1140,1.9466791765720584,1.6562838474233483,-1.2285279853892317,0.032573476299596546
2019-ILH1,2019,Frozen-T1,448,4.091826197513018,3.7683197948259735,-4.87256358721377,0.24019708394940983
2019-ILH1,2019,Frozen-T2,448,2.014335209935032,1.643862474390748,-0.4231702580403214,0.23212933642535918
2019-ILH1,2019,Selected-T2,448,4.363619458772403,4.052634416598059,-5.678625792329995,0.2114364050142994
2019-INH1,2019,Frozen-T1,440,4.792620859562425,4.542158967443703,-8.50148225650127,0.12938987174975639
2019-INH1,2019,Frozen-T2,440,4.5273773690947,4.2620081139325094,-7.4788822797111045,0.12238287511368094
2019-INH1,2019,Selected-T2,440,3.9732125521215957,3.670857277473157,-5.530235025795063,0.0987356846854541
2019-MIH1,2019,Frozen-T1,454,1.8323306878091004,1.479711293597238,-0.0741138673651891,0.09665872903490957
2019-MIH1,2019,Frozen-T2,454,1.7683684620361282,1.41715290779367,-0.0004332905099220241,0.1088958996942165
2019-MIH1,2019,Selected-T2,454,1.7721880013448001,1.4137305231382027,-0.0047596750877940686,0.09458912806005704
2019-MNH1,2019,Frozen-T1,1001,1.8276484482409656,1.4153744411853353,0.0013022008637281202,0.08689229506803764
2019-MNH1,2019,Frozen-T2,1001,1.8394912538413413,1.4356490621102944,-0.011682466369071998,0.11621129706474596
2019-MNH1,2019,Selected-T2,1001,1.8900817010129043,1.4956306657809952,-0.06809510240360317,0.07174670909296188
2019-MOH1,2019,Frozen-T1,515,1.875877103588236,1.468318059393715,-0.06580303770879148,-0.12115200271925554
2019-MOH1,2019,Frozen-T2,515,1.869275974611832,1.4707741395329177,-0.058315207627976484,-0.11269112602420525
2019-MOH1,2019,Selected-T2,515,2.2544466955891025,1.9201672477678493,-0.5393881216555196,-0.11929555232813076
2019-NEH1,2019,Frozen-T1,308,2.6924369043472365,2.254281826606525,-0.5248442777393318,0.14257932497984502
2019-NEH1,2019,Frozen-T2,308,2.303607580734301,1.8302928037410688,-0.11622417225090009,0.14374452322607553
2019-NEH1,2019,Selected-T2,308,2.2791691784310952,1.7956339808959234,-0.09266630680966159,0.12768749399230594
2019-NEH2,2019,Frozen-T1,170,2.291445775408191,1.96490922502783,-1.349013616092138,0.2998784676839251
2019-NEH2,2019,Frozen-T2,170,1.761918220787865,1.4323429808143795,-0.3887940865948134,0.2874418418853679
2019-NEH2,2019,Selected-T2,170,1.710034004878003,1.38104148151229,-0.3082051614245296,0.28505678502547127
2019-NEH2L,2019,Frozen-T1,174,2.160189166589839,1.6997897586330524,0.003871642004190212,0.12819423345942096
2019-NEH2L,2019,Frozen-T2,174,2.1511759277460416,1.669028196301748,0.012166852621154245,0.13469064310082648
2019-NEH2L,2019,Selected-T2,174,2.1560425891623654,1.664185311530117,0.007692195377921429,0.14575109750863477
2019-NYH1,2019,Frozen-T1,201,1.8472918698636405,1.5406288118612936,-0.7013281768000139,0.2295198073251459
2019-NYH1,2019,Frozen-T2,201,1.7143419101473558,1.4074554206950791,-0.46525071414036345,0.23935779966115472
2019-NYH1,2019,Selected-T2,201,1.5708845243695317,1.2741495313132272,-0.2302845764551582,0.22744035333734433
2019-NYH2,2019,Frozen-T1,402,4.167577456916778,3.822583291694416,-4.309103534017863,0.06202835923034711
2019-NYH2,2019,Frozen-T2,402,3.6724281839131643,3.3048745718462897,-3.122498038916728,0.06431720264555947
2019-NYH2,2019,Selected-T2,402,3.631417281649752,3.261053639260513,-3.030938260227315,0.05865265455971418
2019-NYH3,2019,Frozen-T1,573,3.872854669476459,3.402732629751235,-2.472803954038772,0.06702451520158254
2019-NYH3,2019,Frozen-T2,573,3.5000959777599716,3.017432111873842,-1.8364672523559245,0.06124484641525543
2019-NYH3,2019,Selected-T2,573,3.399678967250855,2.917322219527339,-1.6760466731245276,0.05347941152490271
2019-OHH1,2019,Frozen-T1,367,3.5002103583984696,3.2288555153725325,-3.332345292600757,0.11149251127899466
2019-OHH1,2019,Frozen-T2,367,3.358957280691105,3.0794540054479054,-2.9897320792362527,0.09543338262607265
2019-OHH1,2019,Selected-T2,367,3.3954374970121433,3.1129162215262407,-3.076864266681479,0.07006221082580971
2019-SCH1,2019,Frozen-T1,365,5.108361435192209,5.0110921119003455,-26.24299478977301,0.09464494423179391
2019-SCH1,2019,Frozen-T2,365,4.912411816538171,4.810944440004861,-24.193073103666066,0.09940591433632003
2019-SCH1,2019,Selected-T2,365,4.980664686399019,4.877888485241527,-24.897999700384077,0.08732736025542809
2019-TXH1,2019,Frozen-T1,571,1.7847956594670586,1.3588859298129485,-0.031692260418025864,-0.004024299770791533
2019-TXH1,2019,Frozen-T2,571,1.7857846148922651,1.3603071515334775,-0.03283589871205628,0.004046132551581987
2019-TXH1,2019,Selected-T2,571,1.7841017902391547,1.3440460381930686,-0.030890241030335774,0.012354699043947736
2019-TXH2,2019,Frozen-T1,438,1.5224515467887416,1.232313108280174,-0.14102643626662448,-0.0037000885858978734
2019-TXH2,2019,Frozen-T2,438,1.527608054019122,1.2333980534854532,-0.14876878455471365,0.003875398952988884
2019-TXH2,2019,Selected-T2,438,1.5071089640570308,1.2158299025857964,-0.11814481187777703,0.0044435323296492454
2019-TXH3,2019,Frozen-T1,445,1.6237161896504662,1.2878035281473665,-0.1289946725742548,0.003737852305443317
2019-TXH3,2019,Frozen-T2,445,1.6290930396496435,1.2906836617287574,-0.13648426466522823,0.007170594099777868
2019-TXH3,2019,Selected-T2,445,1.6079282286596075,1.2662459411378422,-0.10714619077726795,0.013134946173682528
2019-WIH1,2019,Frozen-T1,580,2.88131109386779,2.4758772361383623,-0.7049384540112305,0.06311521970390822
2019-WIH1,2019,Frozen-T2,580,2.8587984236419577,2.4527347108148403,-0.6784000017104512,0.06428719489288351
2019-WIH1,2019,Selected-T2,580,2.9949236282530447,2.5845983473686274,-0.8420436097138033,0.059367284912775424
2019-WIH2,2019,Frozen-T1,1113,2.184347921156526,1.765771414650128,-0.7171057809648786,0.20239814267064637
2019-WIH2,2019,Frozen-T2,1113,2.78647251482435,2.371725623209752,-1.7942351425043626,0.21614957641990218
2019-WIH2,2019,Selected-T2,1113,2.847330553108614,2.4310894365328046,-1.9176231735781943,0.1673273547178067
2020-DEH1,2020,Frozen-T1,1143,2.256018215772571,1.740053123195747,-0.3863291717655355,0.48028977669981304
2020-DEH1,2020,Frozen-T2,1143,2.0444582168018464,1.5598308662205917,-0.13851206274884453,0.47663029830737186
2020-DEH1,2020,Selected-T2,1143,1.8053477214140645,1.392176603658868,0.11222505848894448,0.48648695243152196
2020-INH1,2020,Frozen-T1,415,3.808599019703593,3.4765154924602655,-4.398508993154379,0.10291249693723403
2020-INH1,2020,Frozen-T2,415,3.8219674674258948,3.4905337488660155,-4.436473790807932,0.10983930629060677
2020-INH1,2020,Selected-T2,415,3.817859712318431,3.4846960992563463,-4.424794098401908,0.10963358452739971
2020-MIH1,2020,Frozen-T1,415,2.566167822638504,2.281427889106352,-3.1374123339394764,0.1984931089454939
2020-MIH1,2020,Frozen-T2,415,2.5104630136691193,2.2230754532395687,-2.9597370707734973,0.2025791072164422
