test_year,train_year_max,n_train_environments,n_test_environments,config,e_rank_requested,e_rank_effective,gamma_multiplier,alpha,diagnostic_only_no_selection,rmse,mae,r2,correlation,frozen_t1_rmse,rmse_minus_frozen_t1
2020,2019,101,16,diagnostic_rank16_gamma2,16,16,2.0,10.0,True,2.5389367295619305,2.0587306868717237,0.20135128426023707,0.4566729827700692,2.745177446719631,-0.20624071715770054
2020,2019,101,16,diagnostic_rank16_gamma4,16,16,4.0,10.0,True,2.7490754475372627,2.2295522045895626,0.06367771691789725,0.29494567596194293,2.745177446719631,0.003898000817631697
2020,2019,101,16,diagnostic_rank32_gamma0.5,32,32,0.5,10.0,True,2.404798402743681,1.924759720913243,0.2835112255968414,0.564910782143116,2.745177446719631,-0.34037904397595
2020,2019,101,16,diagnostic_rank32_gamma1,32,32,1.0,10.0,True,2.412472455309273,1.9308120206177808,0.2789310948431186,0.5556297542451142,2.745177446719631,-0.3327049914103579
2020,2019,101,16,diagnostic_rank32_gamma2,32,32,2.0,10.0,True,2.4383510173791105,1.9515820517873061,0.26337832831434016,0.5323958599505999,2.745177446719631,-0.3068264293405205
2020,2019,101,16,diagnostic_rank32_gamma4,32,32,4.0,10.0,True,2.6558873099388642,2.1596583911917797,0.12608070402534133,0.4041612128416884,2.745177446719631,-0.0892901367807668
2021,2020,117,19,diagnostic_rank8_gamma0.5,8,8,0.5,10.0,True,2.550400978325703,2.05143827818224,0.05176242143785459,0.5109510809130218,2.4752077534079464,0.07519322491775648
2021,2020,117,19,diagnostic_rank8_gamma1,8,8,1.0,10.0,True,2.4667942770160165,1.978704030316201,0.11291324655215917,0.5585190065138296,2.4752077534079464,-0.008413476391929908
2021,2020,117,19,diagnostic_rank8_gamma2,8,8,2.0,10.0,True,2.418576152097384,1.9378327366044688,0.1472538598302675,0.5852065019202801,2.4752077534079464,-0.05663160131056255
2021,2020,117,19,diagnostic_rank8_gamma4,8,8,4.0,10.0,True,2.446636617089423,1.956022348113426,0.12735185024149298,0.5609802232771817,2.4752077534079464,-0.028571136318523482
2021,2020,117,19,diagnostic_rank16_gamma0.5,16,16,0.5,10.0,True,2.5295868941256,2.063857169949689,0.06717659384806485,0.5386553940090321,2.4752077534079464,0.054379140717653485
2021,2020,117,19,diagnostic_rank16_gamma1,16,16,1.0,10.0,True,2.4919797790291947,2.022881527339427,0.09470680119597075,0.553133364006107,2.4752077534079464,0.016772025621248243
2021,2020,117,19,diagnostic_rank16_gamma2,16,16,2.0,10.0,True,2.4619149097856288,1.9831129053514436,0.11641912559844769,0.554930577452241,2.4752077534079464,-0.01329284362231764
2021,2020,117,19,diagnostic_rank16_gamma4,16,16,4.0,10.0,True,2.416774459340256,1.939316446296411,0.1485238750709429,0.571291757758654,2.4752077534079464,-0.0584332940676906
2021,2020,117,19,diagnostic_rank32_gamma0.5,32,32,0.5,10.0,True,2.86037598473498,2.4105543029013985,-0.19274190019127535,0.4627035018945626,2.4752077534079464,0.3851682313270337
2021,2020,117,19,diagnostic_rank32_gamma1,32,32,1.0,10.0,True,2.8466826020341993,2.4007858678802934,-0.18134928819704332,0.4673119012334142,2.4752077534079464,0.3714748486262529
2021,2020,117,19,diagnostic_rank32_gamma2,32,32,2.0,10.0,True,2.7493535342065702,2.2940769918144683,-0.10194877600625651,0.4809795949614125,2.4752077534079464,0.27414578079862384
2021,2020,117,19,diagnostic_rank32_gamma4,32,32,4.0,10.0,True,2.5145723082542215,2.0363072417827484,0.07821744037574718,0.5088523598701501,2.4752077534079464,0.0393645548462751
